page,subject,pathway,tier,quiz_count,fifa_count,has_common_mistake,has_matching,has_equations,has_rp,has_examiner_tip,lineup
biology/cell-biology/transport-in-cells,biology,triple,higher,5,1,True,True,False,True,False,0011101111
biology/cell-biology/culturing-microorganisms,biology,triple,higher,3,1,True,True,True,True,False,0111001111
biology/organisation/principles-of-organisation,biology,triple,higher,4,0,True,True,False,False,False,0011000101
biology/organisation/digestive-system,biology,triple,higher,5,0,True,True,False,True,False,0011101101
biology/organisation/enzymes,biology,triple,higher,5,0,True,True,False,True,False,0011001101
biology/organisation/heart-blood-vessels,biology,triple,higher,4,0,True,True,False,False,False,0011100101
biology/organisation/blood,biology,triple,higher,4,0,True,True,False,False,False,0011000101
biology/organisation/coronary-heart-disease,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/organisation/health-disease,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/organisation/cancer,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/organisation/plant-tissues,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/organisation/transpiration,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/organisation/translocation,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/infection-response/communicable-diseases-defence,biology,triple,higher,4,0,True,True,False,False,False,0011100101
biology/infection-response/viral-diseases,biology,triple,higher,3,0,True,True,False,False,False,0011000101
biology/infection-response/bacterial-diseases,biology,triple,higher,2,0,True,True,False,False,False,0011000101
biology/infection-response/fungal-protist-diseases,biology,triple,higher,2,0,True,True,False,False,False,0011000101
biology/infection-response/vaccination,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/infection-response/antibiotics-painkillers,biology,triple,higher,2,0,True,True,False,False,False,0011100101
biology/infection-response/drug-discovery-development,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/infection-response/plant-disease-detection-defence,biology,triple,higher,3,0,True,True,False,False,False,0011000101
biology/infection-response/monoclonal-antibodies,biology,triple,higher,3,0,True,True,False,False,False,0011000101
biology/bioenergetics/photosynthesis,biology,triple,higher,4,0,True,True,True,True,False,0111001101
biology/bioenergetics/rate-of-photosynthesis,biology,triple,higher,3,0,True,True,False,True,False,0011101101
biology/bioenergetics/uses-of-glucose,biology,triple,higher,3,0,True,True,False,False,False,0011000101
biology/bioenergetics/aerobic-respiration,biology,triple,higher,3,0,True,True,True,False,False,0111100101
biology/bioenergetics/anaerobic-respiration,biology,triple,higher,4,0,True,True,True,False,False,0111000101
biology/bioenergetics/response-to-exercise,biology,triple,higher,3,0,True,True,False,False,False,0011000101
biology/bioenergetics/metabolism,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/homeostasis/homeostasis,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/homeostasis/nervous-system,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/homeostasis/reflex-actions,biology,triple,higher,3,0,True,True,False,False,False,0011000101
biology/homeostasis/thermoregulation,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/homeostasis/endocrine-system,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/homeostasis/blood-glucose-diabetes,biology,triple,higher,3,1,True,True,False,False,False,0011100111
biology/homeostasis/human-reproduction-hormones,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/homeostasis/contraception-fertility,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/homeostasis/reaction-time,biology,triple,higher,2,1,True,True,True,False,False,1111000111
biology/homeostasis/the-brain,biology,triple,higher,2,0,True,True,False,False,False,0011000101
biology/homeostasis/the-eye,biology,triple,higher,2,0,True,True,False,False,False,0011000101
biology/homeostasis/defects-of-the-eye,biology,triple,higher,2,0,True,True,False,False,False,0011000101
biology/inheritance/sexual-asexual-reproduction,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/inheritance/meiosis,biology,triple,higher,2,0,True,True,False,False,False,0011110101
biology/inheritance/advantages-sexual-asexual,biology,triple,higher,2,0,True,True,False,False,False,0011110101
biology/inheritance/dna-genome,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/inheritance/dna-structure,biology,triple,higher,2,0,True,True,False,False,False,0011110101
biology/inheritance/genetic-inheritance,biology,triple,higher,3,1,True,True,False,False,False,0011100111
biology/inheritance/inherited-disorders,biology,triple,higher,2,1,True,True,False,False,False,0011100111
biology/inheritance/sex-determination,biology,triple,higher,2,0,True,True,False,False,False,0011100101
biology/inheritance/variation,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/inheritance/evolution-natural-selection,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/inheritance/theory-of-evolution,biology,triple,higher,2,0,True,True,False,False,False,0011110101
biology/inheritance/selective-breeding,biology,triple,higher,2,0,True,True,False,False,False,0011100101
biology/inheritance/genetic-engineering,biology,triple,higher,2,0,True,True,False,False,False,0011100101
biology/inheritance/cloning,biology,triple,higher,2,0,True,True,False,False,False,0011110101
biology/inheritance/evidence-for-evolution,biology,triple,higher,2,0,True,True,False,False,False,0011100101
biology/inheritance/understanding-genetics,biology,triple,higher,2,0,True,True,False,False,False,0011110101
biology/inheritance/fossils-extinction,biology,triple,higher,2,0,True,True,False,False,False,0011000101
biology/inheritance/resistant-bacteria,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/inheritance/classification-living-organisms,biology,triple,higher,2,0,True,True,False,False,False,0011110101
biology/ecology/ecosystems,biology,triple,higher,3,0,True,True,False,False,False,0011100101
biology/ecology/abiotic-biotic-factors,biology,triple,higher,2,0,True,True,False,False,False,0011100101
biology/ecology/adaptations,biology,triple,higher,2,0,True,True,False,False,False,0011000101
biology/ecology/food-chains-webs,biology,triple,higher,2,0,True,True,False,False,False,0011100101
biology/ecology/population-competition,biology,triple,higher,2,0,True,True,False,False,False,0011100101
biology/ecology/biodiversity,biology,triple,higher,2,0,True,True,False,False,False,0011100101
biology/ecology/waste-management,biology,triple,higher,2,0,True,True,False,False,False,0011000101
biology/ecology/land-use,biology,triple,higher,2,0,True,True,False,False,False,0011000101
biology/ecology/deforestation,biology,triple,higher,2,0,True,True,False,False,False,0011000101
biology/ecology/global-warming,biology,triple,higher,2,0,True,True,False,False,False,0011000101
biology/ecology/maintaining-biodiversity,biology,triple,higher,2,0,True,True,False,False,False,0011000101
biology/ecology/carbon-cycle,biology,triple,higher,2,0,True,True,False,False,False,0011100101
biology/ecology/water-cycle,biology,triple,higher,2,0,True,True,False,False,False,0011000101
biology/ecology/decomposition,biology,triple,higher,2,0,True,True,False,True,False,0011101101
biology/ecology/trophic-levels,biology,triple,higher,2,0,True,True,False,False,False,0011110101
biology/ecology/pyramids-of-biomass,biology,triple,higher,2,0,True,True,False,False,False,0011110101
biology/ecology/transfer-of-biomass,biology,triple,higher,2,1,True,True,True,False,False,0111110111
biology/ecology/sampling-techniques,biology,triple,higher,3,1,True,True,True,True,False,1111101111
biology/ecology/environmental-change,biology,triple,higher,2,0,True,True,False,False,False,0011000101
biology/ecology/factors-affecting-food-security,biology,triple,higher,2,0,True,True,False,False,False,0011110101
biology/ecology/farming-techniques,biology,triple,higher,2,0,True,True,False,False,False,0011110101
biology/ecology/sustainable-fisheries,biology,triple,higher,2,0,True,True,False,False,False,0011110101
biology/ecology/role-of-biotechnology,biology,triple,higher,2,0,True,True,False,False,False,0011110101
